S.No,University Name,State/UT,Type,Year Established
151,Bhagwan Mahavir University,Gujarat,Private University,2019.0
152,Bhaikaka University,Gujarat,Private University,2019.0
153,Bhakta Kavi Narsinh Mehta University,Gujarat,State University,2015.0
154,Birsa Munda Tribal University,Gujarat,State University,2018.0
155,Central University of Gujarat,Gujarat,Central University,2009.0
156,Gati Shakti Vishwavidyalaya,Gujarat,State University,
157,Centre for Environmental Planning and Technology University,Gujarat,Private University,2005.0
158,Charotar University of Science & Technology,Gujarat,Private University,2009.0
159,Children's University,Gujarat,State University,2009.0
160,C.U. Shah University,Gujarat,Private University,2013.0
161,Darshan University,Gujarat,Private University,2021.0
162,Dharmsinh Desai University,Gujarat,State University,2000.0
163,Dhirubhai Ambani Institute of Information and Communication Technology,Gujarat,Private University,2003.0
164,Dr. Babasaheb Ambedkar Open University,Gujarat,State University,1994.0
165,Drs. Kiran & Pallavi Patel Global University (KPGU),Gujarat,Private University,2021.0
166,Dr. Subhash University,Gujarat,Private University,2022.0
167,Ganpat University,Gujarat,Private University,2005.0
168,G.L.S. University,Gujarat,Private University,2015.0
169,Gandhinagar University,Gujarat,Private University,2022.0
170,Gokul Global University,Gujarat,Private University,2018.0
171,GSFC University,Gujarat,Private University,2014.0
172,Gujarat Ayurveda University,Gujarat,State University,1968.0
173,Gujarat Biotechnology University,Gujarat,State University,2018.0
174,Gujarat Maritime University,Gujarat,Private University,2017.0
175,Gujarat National Law University,Gujarat,State University,2003.0
176,Gujarat Natural Farming and Organic Agricultural University,Gujarat,State University,2022.0
177,Gujarat Technological University,Gujarat,State University,2007.0
178,Gujarat University,Gujarat,State University,1950.0
179,Gujarat University of Transplantation Sciences,Gujarat,State University,2015.0
180,Gujarat Vidyapith,Gujarat,Deemed University,1963.0
181,Hemchandracharya North Gujarat University,Gujarat,State University,1986.0
182,Indian Institute of Public Health,Gujarat,Private University,2015.0
183,Indian Institute of Teacher Education,Gujarat,State University,2010.0
184,Indrashil University,Gujarat,Private University,2017.0
185,Indus University,Gujarat,Private University,2012.0
186,Institute of Infrastructure Technology Research and Management,Gujarat,State University,2013.0
187,Institute of Advanced Research,Gujarat,Private University,2011.0
188,ITM (SLS) Baroda University,Gujarat,Private University,2019.0
189,ITM-Vocational University,Gujarat,Private University,2014.0
190,J.G. University,Gujarat,Private University,2019.0
191,Junagarh Agricultural University,Gujarat,State University,2004.0
192,Kadi Sarva Vishwavidyalaya,Gujarat,Private University,2007.0
193,Kamdhenu University,Gujarat,State University,2009.0
194,Karnavati University,Gujarat,Private University,2017.0
195,Krantiguru Shyamji Krishna Verma Kachchh University,Gujarat,State University,2004.0
196,Kaushalya the Skill University,Gujarat,State University,2021.0
197,Lakulish Yoga University,Gujarat,Private University,2013.0
198,Lok Jagruti Kendra University,Gujarat,Private University,2019.0
199,Lokbharati University for Rural Innovation,Gujarat,Private University,2022.0
200,Maganbhai Adenwala Mahagujarat University,Gujarat,Private University,2022.0
201,Maharaja Krishnakumarsinji Bhavnagar University,Gujarat,State University,1978.0
202,Maharaja Sayajirao University of Baroda,Gujarat,State University,1949.0
203,Marwadi University,Gujarat,Private University,2016.0
204,Monark University,Gujarat,Private University,2021.0
205,National Rail and Transportation Institute (NRTI),Gujarat,Deemed University,2018.0
206,Navsari Agricultural University,Gujarat,State University,2004.0
207,Nirma University,Gujarat,Private University,2003.0
208,Navrachana University,Gujarat,Private University,2009.0
209,Noble University,Gujarat,Private University,2022.0
210,Pandit Deendayal Energy University,Gujarat,Private University,2007.0
211,Parul University,Gujarat,Private University,2015.0
212,Plastindia International University,Gujarat,Private University,2016.0
213,P.P. Savani University,Gujarat,Private University,2017.0
214,R.K. University,Gujarat,Private University,2011.0
215,Rai University,Gujarat,Private University,2012.0
216,Sabarmati University,Gujarat,Private University,2009.0
217,SKIPS University,Gujarat,Private University,2022.0
218,Sankalchand Patel University,Gujarat,Private University,2016.0
219,Sardar Krushinagar Dantiwada Agricultural University,Gujarat,State University,2004.0
220,Sardar Patel University,Gujarat,State University,1955.0
221,Sarvajanik University,Gujarat,Private University,2021.0
222,Saurashtra University,Gujarat,State University,1955.0
223,Shree Somnath Sanskrit University,Gujarat,State University,2005.0
224,Shreyarth University,Gujarat,Private University,2019.0
225,Shri Govind Guru University,Gujarat,State University,2015.0
226,Silver Oak University,Gujarat,Private University,2019.0
227,Sumandeep Vidyapeeth,Gujarat,Deemed University,2007.0
228,Surendranagar University,Gujarat,Private University,2021.0
229,Swaminarayan University,Gujarat,Private University,2022.0
230,Swarnim Gujarat Sports University,Gujarat,State University,2011.0
231,Swarnim Startup & Innovation University,Gujarat,Private University,2017.0
232,Team Lease Skills University,Gujarat,Private University,2013.0
233,The Charutar Vidya Mandal (CVM) University,Gujarat,Private University,2019.0
234,Transstadia University,Gujarat,Private University,2022.0
235,UKA Tarsadia University,Gujarat,Private University,2011.0
236,UPL University of Sustainable Technology,Gujarat,Private University,2021.0
237,Vanita Vishram Women's University,Gujarat,Private University,2021.0
238,Veer Narmad South Gujarat University,Gujarat,State University,1965.0
239,Vidhyadeep University,Gujarat,Private University,2022.0
240,Al-Falah University,Haryana,Private University,2014.0
241,Amity University,Haryana,Private University,2010.0
242,Apeejay Stya University,Haryana,Private University,2010.0
243,Ashoka University,Haryana,Private University,2014.0
244,Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,State University,2006.0
245,Baba Mast Nath University,Haryana,Private University,2012.0
246,BML Munjal University,Haryana,Private University,2014.0
247,Central University of Haryana,Haryana,Central University,2009.0
248,Chaudhary Bansi Lal University,Haryana,State University,2014.0
249,Chaudhary Devi Lal University,Haryana,State University,2003.0
250,Chaudhary Ranbir Singh University,Haryana,State University,2014.0
251,Choudhary Charan Singh Haryana Agricultural University,Haryana,State University,1970.0
252,Deen Bandhu Chhotu Ram University of Science & Technology,Haryana,State University,2006.0
253,Dr. B.R. Ambedkar National Law University,Haryana,State University,2012.0
254,G.D. Goenka University,Haryana,Private University,2013.0
255,Geeta University,Haryana,Private University,2022.0
256,Guru Jambeshwar University of Science and Technology,Haryana,State University,1995.0
257,Gurugram University,Haryana,State University,2018.0
258,Shri Vishwakarma Skill University,Haryana,State University,2016.0
259,IILM University,Haryana,Private University,2018.0
260,Indira Gandhi University,Haryana,State University,2013.0
261,Jagan Nath University,Haryana,Private University,2013.0
262,J.C Bose University of Science & Technology,Haryana,State University,2009.0
263,K.R. Mangalam University,Haryana,Private University,2013.0
264,Kurukshetra University,Haryana,State University,1956.0
265,Lingaya's Vidyapeeth,Haryana,Deemed University,2009.0
266,Lala Lajpat Rai University of Veterinary & Animal Sciences,Haryana,State University,2010.0
267,Maharana Pratap Horticultural University,Haryana,State University,2016.0
268,Maharishi Balmiki Sanskrit University,Haryana,State University,2018.0
269,Maharishi Dayanand University,Haryana,State University,1976.0
270,Maharishi Markandeshwar,Haryana,Deemed University,2007.0
271,Maharishi Markandeshwar University,Haryana,Private University,2010.0
272,Manav Rachna International Institute of Research & Studies,Haryana,Deemed University,2008.0
273,Manav Rachna University,Haryana,Private University,2014.0
274,M.V.N. University,Haryana,Private University,2012.0
275,National Brain Research Centre,Haryana,Deemed University,2002.0
276,National Dairy Research Institute,Haryana,Deemed University,1989.0
277,National Institute of Food Technology Entrepreneurship & Management,Haryana,Deemed University,2012.0
278,NIILM University,Haryana,Private University,2011.0
279,Om Sterling Global University,Haryana,Private University,2019.0
280,O.P. Jindal Global University,Haryana,Private University,2006.0
281,PDM University,Haryana,Private University,2016.0
282,Pt. Bhagwat Dayal Sharma University of Health Sciences,Haryana,State University,2008.0
283,Pandit Lakhmi Chand State University of Performing and Visual Arts,Haryana,State University,2014.0
284,Rishihood University,Haryana,Private University,2020.0
285,Shree Guru Gobind Singh Tricentenary University,Haryana,Private University,2013.0
286,Shri Krishna AYUSH University,Haryana,State University,2017.0
287,SRM University,Haryana,Private University,2013.0
288,Starex University,Haryana,Private University,2016.0
289,Sushant University,Haryana,Private University,2012.0
290,The Northcap University,Haryana,Private University,2009.0
291,World University of Design,Haryana,Private University,2018.0
292,Abhilashi University,Himachal Pradesh,Private University,2015.0
293,Arni University,Himachal Pradesh,Private University,2009.0
294,A.P.G. (Alakh Prakash Goyal) Shimla University,Himachal Pradesh,Private University,2012.0
295,Atal Medical and Research University,Himachal Pradesh,State University,2018.0
296,Baddi University of Emerging Sciences & Technology,Himachal Pradesh,Private University,2009.0
297,Bahra University,Himachal Pradesh,Private University,2011.0
298,Career Point University,Himachal Pradesh,Private University,2012.0
299,Central University of Himachal Pradesh,Himachal Pradesh,Central University,2009.0
300,Chitkara University,Himachal Pradesh,Private University,2009.0
301,Dr. Y.S. Parmar University of Horticulture & Forestry,Himachal Pradesh,State University,1986.0
302,Eternal University,Himachal Pradesh,Private University,2009.0
303,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh,State University,1978.0
304,Himachal Pradesh National Law University,Himachal Pradesh,State University,2016.0
305,Himachal Pradesh University,Himachal Pradesh,State University,1970.0
306,Himachal Pradesh Technical University,Himachal Pradesh,State University,2010.0
307,ICFAI University,Himachal Pradesh,Private University,2011.0
308,I.E.C. (India Education Centre) University,Himachal Pradesh,Private University,2012.0
309,Indus International University,Himachal Pradesh,Private University,2010.0
310,Jaypee University of Information Technology,Himachal Pradesh,Private University,2002.0
311,Maharishi Markandeshwar University,Himachal Pradesh,Private University,2010.0
312,Maharaja Agrasen University,Himachal Pradesh,Private University,2013.0
313,Manav Bharti University,Himachal Pradesh,Private University,2009.0
314,Sardar Patel University Mandi,Himachal Pradesh,State University,2022.0
315,Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Private University,2009.0
316,Sri Sai University,Himachal Pradesh,Private University,2011.0
317,Baba Ghulam Shah Badshah University,Jammu & Kashmir,State University,2005.0
318,Central University of Kashmir,Jammu & Kashmir,Central University,2009.0
319,Central University of Jammu,Jammu & Kashmir,Central University,2009.0
320,Cluster University of Jammu,Jammu & Kashmir,State University,2016.0
321,Cluster University of Srinagar,Jammu & Kashmir,State University,2016.0
322,Islamic University of Science & Technology University,Jammu & Kashmir,State University,2005.0
323,Sher-e-Kashmir University of Agricultural Science & Technology Srinagar,Jammu & Kashmir,State University,1982.0
324,Sher-e-Kashmir University of Agricultural Science & Technology Jammu,Jammu & Kashmir,State University,1999.0
325,Shri Mata Vaishno Devi University,Jammu & Kashmir,State University,2004.0
326,University of Jammu,Jammu & Kashmir,State University,1968.0
327,University of Kashmir,Jammu & Kashmir,State University,1949.0
328,AISECT University,Jharkhand,Private University,2016.0
329,Amity University,Jharkhand,Private University,2016.0
330,ARKA Jain University,Jharkhand,Private University,2017.0
331,Binod Bihar Mahto Koylanchal University,Jharkhand,State University,2017.0
332,Birla Institute of Technology,Jharkhand,Deemed University,1986.0
333,Birsa Agricultural University,Jharkhand,State University,1980.0
334,Capital University,Jharkhand,Private University,2018.0
335,Central University of Jharkhand,Jharkhand,Central University,2009.0
336,Dr. Shyama Prasad Mukherjee University,Jharkhand,State University,2017.0
337,Jharkhand Rai University,Jharkhand,Private University,2012.0
338,Jharkhand Raksha Shakti University,Jharkhand,State University,2016.0
339,Jharkhand University of Technology Science & Technology,Jharkhand,State University,2015.0
340,Kolhan University,Jharkhand,State University,2007.0
341,Nilamber-Pitamber University,Jharkhand,State University,2007.0
342,National University of Study & Research in Law,Jharkhand,State University,2010.0
343,Netaji Subhas University,Jharkhand,Private University,2018.0
344,Pragyan International University,Jharkhand,Private University,2016.0
345,Radha Govind University,Jharkhand,Private University,2018.0
346,Ram Krishana Dharmarth Foundation University,Jharkhand,Private University,2018.0
347,Ramchandra Chandravansi University,Jharkhand,Private University,2018.0
348,Ranchi University,Jharkhand,State University,1960.0
349,Sai Nath University,Jharkhand,Private University,2012.0
350,Sarla Birla University,Jharkhand,Private University,2017.0
351,Sido Kanhu Murmu University,Jharkhand,State University,1992.0
352,Srinath University,Jharkhand,Private University,2021.0
353,The Institute of Chartered Financial Analysts of India University,Jharkhand,Private University,2008.0
354,Usha Martin University,Jharkhand,Private University,2013.0
355,Vinoba Bhave University,Jharkhand,State University,1993.0
356,YBN University,Jharkhand,Private University,2017.0
357,Adichunchanagiri University,Karnataka,Private University,2018.0
358,Alliance University,Karnataka,Private University,2010.0
359,Atria University,Karnataka,Private University,2022.0
360,Azim Premji University,Karnataka,Private University,2010.0
361,B.L.D.E. University,Karnataka,Deemed University,2008.0
362,Bangalore University,Karnataka,State University,1964.0
363,Bengaluru City University,Karnataka,State University,2017.0
364,Bengaluru Dr. B.R. Ambedkar School of Economics University,Karnataka,State University,2019.0
365,Bengaluru North University,Karnataka,State University,2017.0
366,Central University of Karnataka,Karnataka,Central University,2009.0
367,Christ University,Karnataka,Deemed University,2008.0
368,Chanakya University,Karnataka,Private University,2022.0
369,CMR University,Karnataka,Private University,2013.0
370,Davangere University,Karnataka,State University,2009.0
371,Dayananda Sagar University,Karnataka,Private University,2014.0
372,Garden City University,Karnataka,Private University,2013.0
373,Gulbarga University,Karnataka,State University,1980.0
374,Indian Institute of Science,Karnataka,Deemed University,1958.0
375,International Institute of Information Technology,Karnataka,Deemed University,2005.0
376,JSS Academy of Higher Education & Research,Karnataka,Deemed University,2008.0
377,Jain University,Karnataka,Deemed University,2008.0
378,JSS Science & Technology University,Karnataka,Private University,2016.0
379,Jawaharlal Nehru Centre for Advanced Scientific Research,Karnataka,Deemed University,2002.0
380,Karnataka Janapada Vishwavidyalaya,Karnataka,State University,2.0
381,UNIVERSITY GRANTS COMMISSION,Unknown,Unknown,
382,"Acharya N.G. Ranga Agricultural University, Lam,",Unknown,Unknown,
383,"Guntur – 522 034, Andhra Pradesh (State University)",Unknown,Unknown,
384,"Acharya Nagarjuna University, Nagarjuna Nagar-522510, Dt. Guntur,",Unknown,Unknown,
385,Andhra Pradesh. (State University),Unknown,Unknown,
386,"Adikavi Nannaya University, 25-7-9/1, Jayakrishnapuram,",Unknown,Unknown,
387,(State University),Unknown,Unknown,
388,"Andhra Kesari University, Pernamitta, Ongole, Prakasam District - 523",Unknown,Unknown,
389,"225, Andhra Pradesh (State University)",Unknown,Unknown,
390,"Andhra University, Waltair, Visakhapatnam-530 003, Andhra Pradesh.",Unknown,Unknown,
391,"Bharatiya Engineering Science and Technology Innovation University,",Unknown,Unknown,
392,University),Unknown,Unknown,
393,"Central University of Andhra Pradesh, IT Incubation Centre Building,",Unknown,Unknown,
394,515002 (Central University),Unknown,Unknown,
395,University,Unknown,Unknown,
396,"Vizianagaram, Andhra Pradesh 535008 (Central University)",Unknown,Unknown,
397,"Centurion University of Technology and Management, Gidijala Junction,",Unknown,Unknown,
398,(Private University),Unknown,Unknown,
399,"Cluster University, B-Camp, Silver Jubilee Government College",Unknown,Unknown,
400,"Campus, Kurnool – 518 002, Andhra Pradesh (State University)",Unknown,Unknown,
401,"Damodaram Sanjivayya National Law University, Plot No. 116, Sector",Unknown,Unknown,
402,"Dr. Abdul Haq Urdu University, Kurnool- 518001, Andhra Pradesh",Unknown,Unknown,
